Product Name,Temperature L1,Temperature L2,Size,Ounce,Category
Roasted Oolong Lemon Tea,Hot,Hot,Small,12 oz,Tea
Roasted Oolong Lemon Tea,Hot,Hot,Regular,16 oz,Tea
Roasted Oolong Lemon Tea,Hot,Hot,Large,22 oz,Tea
Roasted Oolong Lemon Tea,Ice,Regular,Small,12 oz,Tea
Roasted Oolong Lemon Tea,Ice,Regular,Regular,16 oz,Tea
Roasted Oolong Lemon Tea,Ice,Regular,Large,22 oz,Tea
Roasted Oolong Lemon Tea,Ice,Less,Small,12 oz,Tea
Roasted Oolong Lemon Tea,Ice,Less,Regular,16 oz,Tea
Roasted Oolong Lemon Tea,Ice,Less,Large,22 oz,Tea
Roasted Oolong Lemon Tea,Ice,No,Small,12 oz,Tea
Roasted Oolong Lemon Tea,Ice,No,Regular,16 oz,Tea
Roasted Oolong Lemon Tea,Ice,No,Large,22 oz,Tea
Ceylon Black Lemon Tea,Hot,Hot,Small,12 oz,Tea
Ceylon Black Lemon Tea,Hot,Hot,Regular,16 oz,Tea
Ceylon Black Lemon Tea,Hot,Hot,Large,22 oz,Tea
Ceylon Black Lemon Tea,Ice,Regular,Small,12 oz,Tea
Ceylon Black Lemon Tea,Ice,Regular,Regular,16 oz,Tea
Ceylon Black Lemon Tea,Ice,Regular,Large,22 oz,Tea
Ceylon Black Lemon Tea,Ice,Less,Small,12 oz,Tea
Ceylon Black Lemon Tea,Ice,Less,Regular,16 oz,Tea
Ceylon Black Lemon Tea,Ice,Less,Large,22 oz,Tea
Ceylon Black Lemon Tea,Ice,No,Small,12 oz,Tea
Ceylon Black Lemon Tea,Ice,No,Regular,16 oz,Tea
Ceylon Black Lemon Tea,Ice,No,Large,22 oz,Tea
